Pclass,Sex,Age,Fare,Family_cnt,cabin_ind
1,1,52.0,78.2667,1,1
3,1,22.0,10.5167,0,0
3,0,16.0,34.375,4,0
2,0,39.0,13.0,0,0
1,0,29.69911764705882,221.7792,0,1
3,0,40.5,7.75,0,0
3,0,29.69911764705882,8.6625,0,0
1,0,29.69911764705882,0.0,0,0
1,1,33.0,90.0,1,1
3,0,29.69911764705882,7.75,0,0
2,1,42.0,13.0,0,0
1,0,36.0,120.0,3,1
2,0,36.0,12.875,0,1
2,0,36.5,26.0,2,1
3,0,17.0,7.0542,1,0
3,0,24.0,7.05,0,0
3,0,29.0,9.4833,0,0
1,0,40.0,31.0,0,1
3,0,28.0,7.8542,0,0
1,0,26.0,30.0,0,1
3,1,19.0,7.8542,1,0
2,0,31.0,13.0,0,0
1,0,29.69911764705882,35.0,0,1
3,1,29.69911764705882,7.8792,0,0
2,1,25.0,26.0,1,0
3,0,20.0,7.05,0,0
2,1,17.0,10.5,0,0
3,1,5.0,19.2583,3,0
3,0,16.0,18.0,2,0
3,0,17.0,7.2292,2,0
1,1,32.0,76.2917,0,1
3,0,29.69911764705882,8.05,0,0
1,1,49.0,25.9292,0,1
3,0,29.69911764705882,25.4667,4,0
3,1,29.69911764705882,7.75,0,0
3,0,49.0,0.0,0,0
3,0,34.5,6.4375,0,0
3,0,20.0,9.225,0,0
3,1,15.0,14.4542,1,0
3,0,21.0,7.775,0,0
1,0,29.69911764705882,26.55,0,0
3,1,5.0,12.475,0,0
3,0,25.0,7.225,0,0
1,1,44.0,57.9792,1,1
3,0,18.0,7.7958,0,0
1,0,23.0,63.3583,1,1
2,0,39.0,13.0,0,0
2,0,33.0,12.275,0,0
3,0,1.0,39.6875,5,0
3,0,29.69911764705882,7.7292,0,0
2,0,24.0,10.5,0,0
1,1,38.0,227.525,0,1
1,1,17.0,57.0,1,1
3,0,35.0,7.05,0,0
1,1,40.0,134.5,2,1
1,0,28.0,26.55,0,1
3,0,4.0,27.9,5,0
3,0,16.0,20.25,2,0
3,0,19.0,7.65,0,1
2,0,36.0,13.0,0,0
3,1,21.0,34.375,4,0
3,0,25.0,7.775,1,0
2,1,24.0,14.5,2,0
1,0,28.0,35.5,0,1
3,0,29.69911764705882,23.45,3,0
2,0,29.69911764705882,13.8625,0,0
3,0,17.0,8.6625,0,0
2,1,36.0,13.0,0,1
1,0,36.0,26.3875,0,1
3,0,65.0,7.75,0,0
2,0,29.69911764705882,15.05,0,0
1,0,29.69911764705882,35.5,0,1
3,1,9.0,15.2458,2,0
2,0,23.0,15.0458,0,0
3,0,39.0,24.15,0,0
2,0,32.0,10.5,0,0
3,0,9.0,31.3875,6,0
1,0,64.0,26.0,0,0
2,1,7.0,26.25,2,0
1,0,42.0,52.5542,1,1
2,1,57.0,10.5,0,1
3,0,25.0,7.05,0,0
2,1,40.0,39.0,2,0
3,1,11.0,31.275,6,0
3,0,29.69911764705882,7.7375,0,0
3,0,27.0,7.8958,0,0
3,0,36.0,24.15,2,0
3,0,29.0,7.0458,1,0
2,1,50.0,26.0,1,0
1,0,60.0,26.55,0,0
3,0,28.0,9.5,0,0
1,1,39.0,83.1583,2,1
1,0,11.0,120.0,3,1
2,0,19.0,36.75,2,0
1,0,47.0,52.0,0,1
3,1,29.69911764705882,7.75,0,0
3,0,29.69911764705882,7.8958,0,0
3,0,16.0,39.6875,5,0
2,1,24.0,26.0,1,0
1,1,29.69911764705882,82.1708,1,0
3,0,18.0,8.05,0,0
3,0,26.0,14.4542,1,0
3,0,23.0,9.225,0,0
2,0,25.0,41.5792,3,0
3,1,24.0,16.7,2,1
3,0,29.69911764705882,7.05,0,0
3,0,44.0,8.05,0,0
2,0,23.0,11.5,3,0
3,0,38.0,7.8958,0,0
2,1,13.0,19.5,1,0
3,1,32.0,15.5,2,0
1,1,26.0,78.85,0,0
1,0,28.0,47.1,0,0
1,0,60.0,79.2,2,1
3,0,29.69911764705882,56.4958,0,0
3,0,29.69911764705882,7.725,0,0
2,1,21.0,10.5,0,0
1,1,29.69911764705882,110.8833,0,0
1,0,40.0,27.7208,0,0
3,0,29.69911764705882,8.4583,0,0
3,1,43.0,46.9,7,0
1,0,65.0,61.9792,1,1
3,0,29.69911764705882,7.8958,0,0
2,0,36.0,27.75,3,0
2,1,27.0,21.0,1,0
3,0,29.69911764705882,14.5,0,0
3,0,2.0,21.075,4,0
1,0,29.69911764705882,30.6958,0,0
3,0,10.0,27.9,5,0
3,0,20.0,9.8458,0,0
3,0,27.0,14.4542,1,0
3,1,29.69911764705882,7.8292,0,0
3,0,30.0,7.225,0,0
1,0,56.0,30.6958,0,1
1,0,35.0,26.55,0,0
3,0,38.0,7.05,0,0
3,1,29.69911764705882,25.4667,4,0
3,0,29.0,7.775,0,0
3,1,19.0,7.8792,0,0
3,0,15.0,7.2292,2,0
1,1,29.69911764705882,89.1042,1,1
3,0,18.0,8.3,0,0
2,0,34.0,21.0,1,0
2,0,21.0,73.5,2,0
3,0,17.0,8.6625,0,0
3,0,24.0,7.4958,0,0
2,0,25.0,13.0,0,0
3,1,29.69911764705882,15.2458,2,0
3,0,29.69911764705882,7.225,0,0
1,0,48.0,52.0,1,1
2,0,24.0,13.0,0,0
1,1,29.69911764705882,133.65,1,0
3,0,29.69911764705882,7.75,0,0
2,0,31.0,10.5,0,0
3,0,29.69911764705882,7.8292,0,0
3,0,20.5,7.25,0,0
2,1,50.0,10.5,0,0
3,0,42.0,7.55,0,0
3,0,29.69911764705882,8.7125,0,0
3,0,26.0,8.6625,2,0
3,0,61.0,6.2375,0,0
2,0,21.0,73.5,0,0
2,0,0.83,29.0,2,0
3,0,20.0,7.925,1,0
2,1,38.0,13.0,0,0
1,1,18.0,262.375,4,1
3,0,25.0,7.25,0,0
3,1,45.0,14.4542,1,0
3,1,1.0,15.7417,2,0
3,1,9.0,31.275,6,0
3,0,29.0,8.05,0,0
3,0,21.0,7.925,0,0
3,1,29.69911764705882,7.55,0,0
2,0,54.0,26.0,0,0
1,0,50.0,133.65,2,0
3,1,48.0,34.375,4,0
3,0,29.69911764705882,8.05,0,0
2,0,37.0,26.0,1,0
3,0,29.69911764705882,7.25,0,0
